"fdc_id","data_type","description","food_category_id","publication_date"
"747447","foundation_food","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw","5","2019-04-01"
"171477","sr_legacy_food","Chicken, broiler or fryers, breast, meat and skin, fried, batter","5","2019-04-01"
"168917","sr_legacy_food","Rice, white, long-grain, regular, enriched, cooked","20","2019-04-01"
"169705","sr_legacy_food","Lentils, mature seeds, cooked, boiled, without salt","16","2019-04-01"
"171688","sr_legacy_food","Apples, raw, with skin","9","2019-04-01"
"172470","sr_legacy_food","Bread, whole-wheat, commercially prepared","18","2019-04-01"
"171304","sr_legacy_food","Yogurt, plain, whole milk","1","2019-04-01"
"173756","sr_legacy_food","Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt","16","2019-04-01"
"173424","sr_legacy_food","Egg, whole, cooked, hard-boiled","1","2019-04-01"
"169705000","sr_legacy_food","Oats","20","2019-04-01"
"168462","sr_legacy_food","Spinach, raw","11","2019-04-01"
"175167","sr_legacy_food","Fish, salmon, Atlantic, farmed, cooked, dry heat","15","2019-04-01"
"172730","survey_fndds_food","Chapati or roti, plain, commercially prepared","18","2019-04-01"
