"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","loq","footnote","min_year_acquired","percent_daily_value"
"1","747447","1008","120.0","","","","","","","","",""
"2","747447","1003","22.5","","","","","","","","",""
"3","171477","1008","260.0","","","","","","","","",""
"4","171477","1003","23.0","","","","","","","","",""
"5","171477","1079","0.6","","","","","","","","",""
"6","168917","1008","130.0","","","","","","","","",""
"7","168917","1003","2.69","","","","","","","","",""
"8","168917","1079","0.4","","","","","","","","",""
"9","169705","1008","116.0","","","","","","","","",""
"10","169705","1003","9.02","","","","","","","","",""
"11","169705","1079","7.9","","","","","","","","",""
"12","171688","1008","52.0","","","","","","","","",""
"13","171688","1003","0.26","","","","","","","","",""
"14","171688","1079","2.4","","","","","","","","",""
"15","172470","1008","254.0","","","","","","","","",""
"16","172470","1003","12.3","","","","","","","","",""
"17","172470","1079","6.0","","","","","","","","",""
"18","171304","1008","61.0","","","","","","","","",""
"19","171304","1003","3.47","","","","","","","","",""
"20","171304","1079","0.0","","","","","","","","",""
"21","173756","1008","164.0","","","","","","","","",""
"22","173756","1003","8.86","","","","","","","","",""
"23","173756","1079","7.6","","","","","","","","",""
"24","173424","1008","155.0","","","","","","","","",""
"25","173424","1003","12.58","","","","","","","","",""
"26","173424","1079","0.0","","","","","","","","",""
"27","169705000","1008","389.0","","","","","","","","",""
"28","169705000","1003","16.89","","","","","","","","",""
"29","169705000","1079","10.6","","","","","","","","",""
"30","168462","1008","23.0","","","","","","","","",""
"31","168462","1003","2.86","","","","","","","","",""
"32","168462","1079","2.2","","","","","","","","",""
"33","175167","1008","206.0","","","","","","","","",""
"34","175167","1003","22.1","","","","","","","","",""
"35","172730","1008","297.0","","","","","","","","",""
"36","172730","1003","8.3","","","","","","","","",""
"37","172730","1079","4.9","","","","","","","","",""
"38","747447","2047","119.0","","","","","","","","",""
